age,income,spending_score,purchase_amount,category,region,channel,purchase_date,converted,num_purchases,tenure_days,satisfaction_score
56.0,59563.05059642587,67.0,820.4957095162573,Home,East,Store,2023-02-20,1,9,1170,6.0
69.0,30761.462926043798,65.0,289.2947382597772,Food,South,Online,2023-03-24,1,4,1888,5.0
46.0,60048.03992581861,,98.18749651511546,Clothing,North,Online,2023-12-18,1,7,269,2.0
32.0,13154.035000817745,48.0,170.99990906848552,Sports,North,Online,2023-03-31,0,10,415,10.0
60.0,20815.702270239097,88.0,367.60829799760944,Food,West,Online,2023-01-13,1,4,1670,4.0
25.0,15254.760346311037,62.0,248.82629112087662,Sports,North,Store,2023-06-06,1,6,599,7.0
38.0,52873.49511062354,44.0,787.5334408194133,Food,West,Online,2023-07-18,1,5,1827,4.0
56.0,64297.935331237306,19.0,67.39720719472984,Home,West,Online,2023-06-03,1,5,199,5.0
36.0,32110.526324388768,59.0,393.4815606664366,Sports,North,Online,2023-07-17,1,4,1838,2.0
40.0,18063.63822178509,8.0,97.234702044126,Clothing,West,Online,2023-08-12,0,6,450,3.0
28.0,35746.25277594365,55.0,180.1187750681361,Electronics,South,Store,2023-04-28,1,4,1993,5.0
28.0,24605.766067953704,47.0,84.97210322143036,Clothing,West,Store,2023-05-31,0,3,1076,
41.0,19207.640781948932,2.0,128.76535917427267,Books,South,Online,2023-09-01,0,5,325,3.0
70.0,47628.89759033011,94.0,183.38028564339984,Home,South,Catalog,2023-03-16,1,5,1266,2.0
53.0,19803.346587775784,94.0,268.60813338181686,Home,South,Online,2023-08-01,1,4,1737,9.0
57.0,10372.571170340785,39.0,157.80453412710298,Clothing,North,Store,2023-10-02,0,5,1212,2.0
41.0,,45.0,12.35239932496589,Home,South,Store,2023-12-20,0,7,1641,9.0
20.0,10070.761732013403,32.0,137.42127967439797,Home,North,Store,2023-09-01,0,4,250,4.0
39.0,44267.654085723,65.0,645.7424643637374,Electronics,East,Catalog,2023-06-27,1,6,263,10.0
70.0,40958.89781512563,38.0,136.33678753968306,Toys,South,Store,2023-04-18,1,3,1945,9.0
19.0,39356.486270819216,77.0,664.1326078316174,Clothing,West,Catalog,2023-10-18,1,4,938,9.0
41.0,58115.36245893092,11.0,131.60476885478823,Clothing,East,Online,2023-06-26,1,5,503,10.0
61.0,942368.9823646628,10.0,154.07761849393123,Clothing,East,Store,2023-06-23,1,7,510,5.0
47.0,22610.886557015892,59.0,96.2592578440633,Electronics,South,Store,2023-04-03,1,3,1433,7.0
55.0,50270.91618433255,90.0,84.90782994649727,Food,North,Catalog,2023-04-10,1,8,1151,4.0
19.0,10263.073077228999,55.0,117.97431575320478,Electronics,East,Catalog,2023-06-30,1,5,1841,10.0
38.0,109422.06033156453,20.0,45.36230880012157,Sports,South,Catalog,2023-06-08,1,6,1740,4.0
50.0,13415.083797941272,81.0,147.10969501697267,Clothing,East,Store,2023-04-06,1,2,807,1.0
29.0,20577.120964312253,17.0,106.88357514714419,Food,East,Online,2023-08-20,0,3,222,10.0
39.0,,68.0,538.0017739055668,Home,South,Online,2023-09-08,1,3,849,9.0
61.0,10710.53593303118,5.0,44.24590735784565,Home,West,Online,2023-12-06,0,7,348,10.0
42.0,37274.34106932973,60.0,189.74265119291218,Electronics,West,Online,2023-03-08,1,9,1722,8.0
66.0,43093.312194954146,23.0,223.86162660766357,Toys,West,Online,2023-08-25,1,8,467,9.0
44.0,31209.226873893447,46.0,322.13827827746576,Food,East,Online,2023-01-19,1,2,667,1.0
59.0,10591.44516530521,52.0,103.17350887851661,Electronics,North,Online,2023-10-14,1,4,115,2.0
45.0,177497.00027246552,,185.08237469412012,Clothing,North,Catalog,2023-10-15,1,5,591,8.0
33.0,56352.6551468286,46.0,211.29983113423597,Clothing,East,Online,2023-07-26,1,4,1630,8.0
32.0,298754.55677651917,28.0,28.54940797631203,Sports,East,Online,2023-11-07,1,6,1097,1.0
64.0,19070.780160056147,97.0,106.94336641980667,Clothing,South,Store,2023-04-13,1,6,1317,10.0
68.0,78143.78315626505,43.0,143.64355754363368,Clothing,North,Store,2023-06-08,1,5,278,
61.0,67739.11827097977,26.0,161.5118024401822,Electronics,East,Online,2023-07-14,1,5,806,6.0
72.0,28782.991464643404,55.0,159.54707062048072,Clothing,West,Online,2023-02-20,1,7,52,5.0
69.0,112290.07088654276,,229.87169198082964,Home,North,Online,2023-08-12,1,3,793,6.0
74.0,26256.582379743733,29.0,1030.2996147123195,Home,East,Online,2023-07-21,0,2,241,7.0
20.0,,27.0,81.82406768044177,Electronics,South,Online,2023-04-02,0,6,959,10.0
54.0,2259.4034256065156,18.0,217.27672522026114,Electronics,South,Store,2023-06-04,0,6,1581,6.0
68.0,50373.59676070529,60.0,545.2820512373346,Clothing,North,Store,2023-06-25,1,8,1300,3.0
24.0,12576.585501697664,74.0,24.565951038090244,Home,West,Store,2023-04-20,1,7,1562,6.0
38.0,23375.016112082234,69.0,194.05295384172285,Sports,North,Online,2023-10-26,1,5,1291,9.0
26.0,15978.898531508448,74.0,27.64986079752983,Electronics,East,Online,2023-08-11,1,3,731,6.0
56.0,27092.56916041996,21.0,1320.2517808540713,Clothing,West,Online,2023-06-28,0,3,1053,6.0
35.0,51797.86360104335,24.0,250.1474976028879,Clothing,East,Online,2023-08-14,1,6,756,5.0
21.0,36640.638701257216,3.0,218.56657469446566,Books,West,Store,2023-03-16,1,7,606,1.0
42.0,64068.81585456788,95.0,22.796932123714598,Food,West,Catalog,2023-03-12,1,10,1745,5.0
31.0,99957.82524587838,62.0,89.61369735330378,Clothing,East,Online,2023-11-24,1,6,654,1.0
67.0,27037.04524379257,2.0,90.03549139470239,Clothing,North,Catalog,2023-07-28,0,6,1716,8.0
26.0,24763.998557447154,66.0,868.2290426902227,Clothing,South,Catalog,2023-04-13,1,5,1091,1.0
43.0,78134.12052381289,42.0,307.7233720957918,Home,West,Online,2023-02-10,1,2,919,8.0
70.0,83252.86577649959,34.0,28.419436718761414,Electronics,West,Online,2023-11-30,1,5,1989,4.0
19.0,65674.93957434491,42.0,237.3420269195428,Clothing,South,Online,2023-10-07,1,7,399,3.0
37.0,16953.964081974675,20.0,33.019414822624846,Home,North,Store,2023-01-30,0,8,805,
45.0,50925.754271358026,97.0,29.09792286312319,Clothing,South,Online,2023-08-31,1,3,1853,2.0
64.0,39639.30609970389,68.0,233.55604826321684,Food,North,Online,2023-02-21,1,5,1605,3.0
24.0,84290.39111394207,45.0,312.5514610523393,Clothing,West,Catalog,2023-02-26,1,6,1759,4.0
61.0,22964.44268318415,75.0,234.80457913263498,Home,West,Online,2023-07-09,1,7,461,9.0
25.0,9573.094314940638,42.0,972.2204528434338,Electronics,East,Online,2023-03-20,0,6,1322,10.0
64.0,63081.91761240135,47.0,214.59500119395798,Books,North,Store,2023-07-15,1,5,152,2.0
52.0,4690.550788203665,5.0,175.93141098574182,Electronics,South,Catalog,2023-07-16,0,4,1080,3.0
31.0,20227.316602153438,89.0,43.991241692356475,Electronics,North,Online,2023-01-31,1,4,1739,4.0
34.0,16017.60311190194,49.0,349.8882013186905,Sports,North,Online,2023-11-28,0,5,612,3.0
53.0,15931.479334399637,37.0,28.46159827235963,Sports,North,Store,2023-01-30,0,5,32,3.0
67.0,19945.818936501237,,1119.1996088023368,Electronics,North,Store,2023-04-23,0,11,882,9.0
57.0,96172.51180997633,73.0,354.5317633069046,Books,South,Catalog,2023-05-18,1,6,1370,5.0
21.0,70013.56830697476,70.0,2415.82797300782,Clothing,East,Online,2023-08-10,1,4,1125,9.0
19.0,29691.48117152979,18.0,219.0561541460824,Food,West,Store,2023-06-21,0,3,174,6.0
23.0,89940.06450162204,78.0,372.47356210671677,Electronics,South,Online,2023-06-04,1,5,1463,10.0
71.0,15524.307120199612,19.0,112.48601356144233,Clothing,South,Catalog,2023-10-03,0,3,1338,8.0
59.0,13924.056287479189,78.0,142.12691302122536,Food,West,Online,2023-08-08,1,7,101,1.0
21.0,72466.3305957526,40.0,51.8557637849202,Food,East,Online,2023-10-03,1,5,1987,8.0
71.0,57740.527182533006,17.0,34.89317849236412,Food,South,Online,2023-01-12,1,3,1232,1.0
46.0,25129.287529258,60.0,179.37844769228153,Food,West,Online,2023-03-26,1,7,1096,9.0
,14641.734906572507,99.0,141.2904207690923,Toys,East,Online,2023-08-10,1,3,1253,3.0
,116749.45413655862,93.0,50.603780346177814,Electronics,East,Online,2023-02-18,1,2,805,9.0
61.0,,42.0,60.41686317894186,Electronics,North,Online,2023-06-29,0,5,438,8.0
51.0,22499.744930930196,81.0,153.31122271124414,Home,South,Online,2023-01-10,1,1,1287,7.0
27.0,43602.1274126262,72.0,49.7434228188426,Electronics,East,Store,2023-09-18,1,5,391,1.0
53.0,153542.37196001742,65.0,212.01246698481887,Food,South,Online,2023-11-16,1,7,1555,7.0
31.0,49339.4957268187,53.0,51.31129138252785,Food,West,Store,2023-07-05,1,4,1177,2.0
,53329.435708442266,7.0,191.685207057745,Clothing,South,Store,2023-08-17,1,5,340,2.0
65.0,23028.619325335814,5.0,46.959610816858024,Books,East,Online,2023-06-07,0,6,202,9.0
32.0,57227.17661709672,24.0,47.15709255799006,Clothing,West,Online,2023-09-30,1,4,504,9.0
25.0,,28.0,13.981972764069468,Clothing,West,Store,2023-11-19,1,6,1267,1.0
31.0,,62.0,126.43407296912454,Electronics,North,Online,2023-01-21,1,8,864,7.0
40.0,68483.48380172571,17.0,635.2793143531705,Electronics,West,Online,2023-01-16,1,5,854,5.0
74.0,78929.84602153552,20.0,600.240743505019,Clothing,East,Online,2023-10-10,1,5,1614,
57.0,69057.31141621628,3.0,205.21690715819634,Home,North,Online,2023-04-25,1,3,1298,1.0
38.0,37296.782450580526,37.0,20.065170831881453,Home,East,Online,2023-01-06,1,8,1107,6.0
33.0,16899.82411533335,90.0,345.11413666569064,Sports,East,Catalog,2023-10-25,1,6,1996,1.0
62.0,5725.315951714909,15.0,185.98504616539446,Electronics,North,Catalog,2023-09-16,0,2,1757,4.0
35.0,41177.31942323641,51.0,98.839452347684,Electronics,North,Catalog,2023-02-09,1,3,1155,2.0
64.0,86297.30495531856,48.0,496.3920946860525,Toys,South,Online,2023-10-03,1,5,1550,2.0
70.0,80533.29458809376,8.0,274.63547881990377,Electronics,East,Catalog,2023-08-20,1,5,565,1.0
41.0,69762.94505954761,13.0,1055.2669454706474,Toys,South,Store,2023-01-07,1,8,603,7.0
43.0,34222.24729141211,48.0,36.392443831687316,Sports,West,Store,2023-11-11,1,3,1854,2.0
42.0,86679.38315046734,3.0,39.35290090636431,Books,West,Store,2023-04-03,1,4,640,7.0
62.0,76063.93070000767,65.0,46.57298021551986,Clothing,South,Online,2023-11-04,1,5,837,2.0
58.0,25897.27814977035,73.0,111.60641041685179,Electronics,North,Catalog,2023-01-21,1,5,186,7.0
46.0,62397.37045296029,31.0,726.4518867958249,Food,West,Online,2023-01-11,1,4,1061,4.0
32.0,23652.70310711209,26.0,79.5517278338206,Home,North,Catalog,2023-02-19,0,4,488,9.0
62.0,55939.1283797832,81.0,81.27153395944804,Electronics,South,Online,2023-09-22,1,5,1325,1.0
18.0,12844.958575136547,56.0,225.2682543297741,Sports,North,Catalog,2023-02-14,1,7,1944,3.0
42.0,,34.0,344.86583170864566,Electronics,East,Online,2023-10-12,0,11,446,5.0
24.0,,9.0,15.850616661984123,Food,West,Online,2023-11-14,1,4,349,7.0
26.0,76883.61760582877,62.0,419.77333045028433,Sports,North,Store,2023-09-28,1,5,1308,7.0
41.0,60288.05272336396,13.0,77.07536381742737,Electronics,North,Store,2023-10-02,1,7,1704,6.0
18.0,38963.28443081781,69.0,133.96455982333728,Electronics,East,Store,2023-02-04,1,2,1210,5.0
61.0,5361.40022084253,41.0,612.9382107535419,Electronics,North,Online,2023-05-21,0,4,1358,5.0
25.0,34204.04700176546,77.0,119.52868694812526,Electronics,South,Online,2023-05-24,1,3,1162,4.0
41.0,52226.56402257707,1.0,32.076686205015896,Electronics,South,Online,2023-11-19,1,4,117,9.0
28.0,236759.11123817973,89.0,169.95481566283354,Electronics,South,Online,2023-09-02,1,5,735,8.0
68.0,20537.435993089213,47.0,144.15485718526534,Clothing,West,Store,2023-12-17,0,10,34,9.0
34.0,,4.0,106.23304991168365,Sports,North,Online,2023-11-07,1,6,757,7.0
25.0,34605.53110814548,63.0,157.50751543415728,Books,West,Online,2023-07-12,1,3,1490,5.0
52.0,522521.40511431464,52.0,496.7862888992931,Clothing,West,Catalog,2023-02-04,1,3,1609,10.0
52.0,67461.01600111354,10.0,513.5908055684241,Electronics,North,Online,2023-09-29,1,6,1292,2.0
50.0,16298.858257606515,28.0,152.1348410574832,Electronics,North,Store,2023-06-27,0,5,1188,4.0
22.0,42385.68380818226,6.0,25.457804165742967,Home,South,Online,2023-09-27,1,14,1020,6.0
59.0,,27.0,335.80579166641,Home,West,Online,2023-11-14,1,4,541,8.0
56.0,155652.0811742674,12.0,998.5167662581155,Toys,West,Store,2023-05-31,1,6,611,5.0
58.0,37494.48437366511,62.0,173.28384650095796,Electronics,North,Online,2023-04-09,1,5,866,9.0
,30020.78223937665,52.0,187.26980105717476,Home,West,Store,2023-01-29,1,5,620,4.0
24.0,,48.0,68.04130776923915,Food,East,Catalog,2023-05-30,1,4,440,6.0
26.0,44130.64145002908,67.0,116.46016236095043,Books,North,Store,2023-07-27,1,4,1664,4.0
25.0,110128.8643173153,46.0,245.39520915567965,Food,South,Catalog,2023-12-15,1,4,595,6.0
29.0,16364.778447728613,97.0,460.2593182540336,Clothing,East,Store,2023-09-19,1,2,1254,10.0
51.0,29030.47824556745,74.0,231.82905749324948,Home,East,Online,2023-07-29,1,6,411,3.0
50.0,14857.899245079472,95.0,914.1922408896319,Sports,South,Online,2023-03-30,1,2,820,8.0
65.0,16160.480917231378,15.0,163.77119709581635,Clothing,East,Store,2023-08-25,0,2,1239,4.0
